,OportunidadAsignada,Seleccionada1,Comparacion
410,CZE-V5SA-001I,CZE-V5SA-001I,True
411,CAN-V5SA-079C,CAN-V5SA-079C,True
412,ALE-5INT-138,ALE-5INT-138,True
413,MEX-V5SA-035,MEX-V5SA-035,True
414,CAN-V5SA-063U,CAN-V5SA-063U,True
415,ESP-V5SA-062J,ESP-V5SA-062J,True
416,ING-5DD-036A,ING-5DD-036A,True
417,CAN-3SA-048E,CAN-3SA-048E,True
418,CAN-3SA-001B,CAN-3SA-001B,True
419,MEX-V5PP-001D,MEX-V5PP-001D,True
420,MEX-I3SA-325A,MEX-I3SA-325A,True
421,EUA-5PIE-263L,EUA-5PIE-263L,True
422,MEX-V5PP-357A,MEX-V5PP-357A,True
423,ING-5PP-051A,ING-5PP-051A,True
424,ESP-5SA-068G,ESP-5SA-068G,True
425,CAN-5INT-063,CAN-5INT-063,True
426,ESP-5INT-093G,POL-5INT-009A,False
427,DIN-5INT-001,EUA-5INT-239A,False
428,DIN-5INT-001,SUE-5INT-004,False
429,CZE-5INT-001,POL-5INT-009A,False
430,ISR-5INT-003B,NZL-5INT-009A,False
431,CZE-5INT-001,CZE-5INT-001,True
432,LVA-5INT-001C,LVA-5INT-001C,True
433,ESP-5INT-094L,ESP-5INT-094L,True
434,CZE-I5SA-010E,CZE-I5SA-010E,True
435,ESP-5SA-059A,ESP-5SA-059A,True
436,LVA-5SA-001I,LVA-5SA-001I,True
437,LVA-5INT-001C,SUE-5INT-014A,False
438,FRA-5INT-033B,DIN-5INT-011,False
439,CZE-I5SA-010E,CZE-I5SA-010E,True
440,ITA-I5SA-020B,ITA-I5SA-020B,True
441,CHN-5SA-004A,CHN-5SA-004A,True
442,ESP-5INT-325B,ESP-5INT-325B,True
443,ESP-5INT-325B,ESP-5INT-325B,True
444,CAN-5SA-079A,CAN-5SA-079A,True
445,ESP-5PEI-027A,ESP-5PEI-027A,True
446,CZE-I5SA-010E,CZE-I5SA-010E,True
447,FRA-5INT-147A,FRA-5INT-147A,True
448,FRA-5INT-147A,SUE-5INT-004,False
449,FRA-5INT-147A,FRA-5INT-147A,True
450,EUA-5PIE-263L,EUA-5PIE-263L,True
451,COR-5SA-009,COR-5SA-009,True
452,FRA-V5SA-147C,FRA-V5SA-147C,True
453,EUA-5PIE-263L,EUA-5PIE-263L,True
454,CHL-5INT-028,COL-5INT-001A,False
455,CZE-V5SA-001I,CZE-V5SA-001I,True
456,FRA-5INT-147A,FRA-5INT-147A,True
457,FRA-5INT-147A,FRA-5INT-147A,True
458,FRA-V5SA-147C,FRA-V5SA-147C,True
459,CZE-V5SA-001I,CZE-V5SA-001I,True
460,CZE-V5SA-001I,CZE-V5SA-001I,True
461,FRA-5INT-147A,CZE-5INT-001,False
462,CZE-5INT-001,EUA-5INT-325A,False
463,CZE-V5SA-001I,CZE-V5SA-001I,True
464,COL-V5SA-010A,COL-V5SA-010A,True
465,CZE-V5SA-001I,CZE-V5SA-001I,True
466,FRA-5INT-033B,FRA-5INT-033B,True
467,ALE-V5ID-153,ALE-V5ID-153,True
468,MEX-V5SA-001A,MEX-V5SA-001A,True
469,SUE-5INT-017,ALE-5INT-138,False
470,CZE-V5SA-001I,CZE-V5SA-001I,True
471,CAN-V5SA-211E,CAN-V5SA-211E,True
472,CAN-V5SA-211C,CAN-V5SA-211C,True
473,COR-V5SA-025A,COR-V5SA-025A,True
474,CAN-V5SA-211F,CAN-V5SA-211F,True
475,CAN-V5SA-211C,CAN-V5SA-211C,True
476,MEX-V5PP-357B,MEX-V5PP-357B,True
477,MEX-V5PP-357B,MEX-V5PP-357B,True
478,MEX-V5PP-357B,MEX-V5PP-357B,True
479,MEX-V5PP-357B,MEX-V5PP-357B,True
480,MEX-V5PP-357B,MEX-V5PP-357B,True
481,MEX-V5PP-357B,MEX-V5PP-357B,True
482,MEX-V5PP-357B,MEX-V5PP-357B,True
483,MEX-V5PP-357B,MEX-V5PP-357B,True
484,MEX-V5PP-357B,MEX-V5PP-357B,True
485,MEX-V5PP-357B,MEX-V5PP-357B,True
486,MEX-V5PP-357B,MEX-V5PP-357B,True
487,MEX-V5PP-357B,MEX-V5PP-357B,True
488,MEX-V5PP-357B,MEX-V5PP-357B,True
489,MEX-V5PP-357C,MEX-V5PP-357C,True
490,MEX-V5PP-357B,MEX-V5PP-357B,True
491,MEX-V5PP-357C,MEX-V5PP-357C,True
